seq;GEORGE
10265;Não
10263;Não
10249;Não
10248;Não
10247;Não
10239;Não
10237;Não
10229;Não
10228;Não
10225;Não
10211;Não
10193;Não
10185;Não
10183;Não
10128;SIM
10127;SIM
10126;NÃO
10125;NÃO
10182;Não
10123;SIM
10180;Não
10177;Não
10120;SIM
10175;Não
10174;Não
10173;Não
10172;Não
10168;Não
10114;NÃO
10113;NÃO
10166;Não
10111;NÃO
10165;Não
10161;Não
10149;Não
10148;Não
10147;Não
10144;Não
10143;Não
10103;NÃO
10142;Não
10140;Não
10110;Não
10107;Não
10106;Não
10097;NÃO
10096;NÃO
10091;Não
10094;SIM
10086;Não
10073;Não
10066;Não
10089;NÃO
10088;NÃO
10055;Não
10050;Não
10044;Não
10035;Não
10034;Não
10023;Não
10019;Não
10005;Não
10000;Não
10078;NÃO
9989;Não
9988;Não
10075;NÃO
10074;SIM
9976;Não
10072;SIM
10070;SIM
10069;SIM
9969;Não
9967;Não
10700;Não
10698;Não
10696;Não
10693;Não
10690;Não
10689;Não
10060;SIM
10685;Não
10679;Não
10677;Não
10056;NÃO
10673;Não
10664;Não
10663;Não
10662;Não
10659;Não
10049;NÃO
10048;NÃO
