"";"name";"searched_name";"value_founded";"trusted"
141;"Elsie Franklin Guimarães";"Guimar";"O. A. Guimarães";False
142;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/15-05-2013";False
143;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2008";False
144;"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães";False
145;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/IV-2006";False
146;"Elsie Franklin Guimarães";"Guimar";"C. L. F. Ichaso; E. F. Guimarães";False
147;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2000";False
148;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/junho.2008";False
149;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães-Jan.2008";False
150;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.";False
151;"Elsie Franklin Guimarães";"Guimar";"Guimarães, O.; Ichaso, C.";False
152;"Erika Von Sohsten de Souza Medeiros";"Medeiros";"H. Medeiros";False
153;"Erika Von Sohsten de Souza Medeiros";"Medeiros";"Medeiros";False
154;"Erika Von Sohsten de Souza Medeiros";"Medeiros";"Medeiros, H";False
155;"George Azevedo de Queiroz";"Queiroz";"L.N.Sátiro & L.P.de Queiroz";False
156;"Eric J Tepe";"Tepe";"Tepe EJ";True
157;"George Azevedo de Queiroz";"Queiroz";"G. A. Queiroz";True
158;"George Azevedo de Queiroz";"Queiroz";"G.A. Queiroz";True
159;"George Azevedo de Queiroz";"Queiroz";"G.A. Queiroz/2018";True
160;"George Azevedo de Queiroz";"Queiroz";"Guimarães, E.F.; Queiroz, G.A.";True
161;"George Azevedo de Queiroz";"Queiroz";"Guimarães, E.; Queiroz, G.A.";True
162;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/2008";True
163;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/2006";True
164;"Elsie Franklin Guimarães";"Guimar";"Elsie F.Guimarães";True
165;"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães & D.Monteiro/04";True
166;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E. .F.";True
167;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Carvalho, M";True
168;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/Agos.1991";True
169;"Elsie Franklin Guimarães";"Guimar";"Guimarães E.F.";True
170;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2016";True
171;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Sarnaglia Júnior, V.B.";True
172;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães";True
173;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Callejas, R";True
174;"Elsie Franklin Guimarães";"Guimar";"Guimar~eas, E.F.; Ferreira, D.M.";True
175;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2006";True
176;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães; D. M. Ferreira";True
177;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Monteiro, D";True
178;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E.F.; Costa, C.G.; Falcão, C.L.";True
179;"Elsie Franklin Guimarães";"Guimar";"Guimarães/10-10-2007";True
180;"Elsie Franklin Guimarães";"Guimar";"V. Catarelli; E. Guimarães";True
181;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E";True
182;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/1991";True
183;"Elsie Franklin Guimarães";"Guimar";"L.A.Pereira & E.F. Guimarães/17-01-2008";True
184;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães/ 1995";True
185;"Elsie Franklin Guimarães";"Guimar";"Guimarães,E.F.";True
186;"Elsie Franklin Guimarães";"Guimar";"Elsie F. Guimarães - 5/1/2008";True
187;"Elsie Franklin Guimarães";"Guimar";"L.A.Pereira & E.F. Guimarães/26-03-2008";True
188;"Elsie Franklin Guimarães";"Guimar";"Elsie Franklin Guimarães";True
189;"Elsie Franklin Guimarães";"Guimar";"Elsie Guimarães";True
190;"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães & D.M. Ferreira/2006";True
191;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E. & Ichaso, C.";True
192;"Elsie Franklin Guimarães";"Guimar";"E.F.Guimarães/2006";True
193;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/2007";True
194;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/1992";True
195;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E. & Ichaso,C.";True
196;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Carvalho, MS";True
197;"Elsie Franklin Guimarães";"Guimar";"E.F.GUIMARÃES";True
198;"Elsie Franklin Guimarães";"Guimar";"E. F. GuimarÃ£es; C. L. F. Ichaso";True
199;"Elsie Franklin Guimarães";"Guimar";"R. Callejas Posada; E. F. GuimarÃ£es";True
200;"Elsie Franklin Guimarães";"Guimar";"E. Guimarães/2001";True
201;"Elsie Franklin Guimarães";"Guimar";"E.F. Guimarães/2018";True
202;"Elsie Franklin Guimarães";"Guimar";"Guimarães, E. F.";True
203;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF";True
204;"Elsie Franklin Guimarães";"Guimar";"Guimarães, EF; Medeiros, E von S.";True
205;"Elsie Franklin Guimarães";"Guimar";"E. F. Guimarães/2003";True
206;"Elsie Franklin Guimarães";"Guimar";"E. Guimarães/2009";True
207;"George Azevedo de Queiroz";"Queiroz";"L. P. de Queiroz";False
208;"George Azevedo de Queiroz";"Queiroz";"L.P.de Queiroz";False
209;"George Azevedo de Queiroz";"Queiroz";"M.H. de Queiroz";False
